City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Menongue,AO,2020-08-23 03:04:32,-14.66,17.69,55.96,51,0,4.7
203,Hami,CN,2020-08-23 03:04:32,42.8,93.45,83.57,18,1,8.48
204,Gigmoto,PH,2020-08-23 03:02:03,13.78,124.39,88.45,62,87,7.67
205,Nuristan,AF,2020-08-23 03:04:33,35.3,70.83,52.39,45,0,1.39
206,Kisiwani,TZ,2020-08-23 03:04:34,-4.13,37.95,62.31,86,84,0.98
207,Sorland,NO,2020-08-23 03:04:34,67.67,12.69,56.7,87,89,21.43
208,Asifabad,IN,2020-08-23 03:04:34,19.37,79.28,80.83,79,77,8.3
209,Constitucion,CL,2020-08-23 03:04:35,-35.33,-72.42,52.75,84,100,18.05
210,Bonthe,SL,2020-08-23 03:04:35,7.53,-12.51,76.3,89,95,6.82
211,Murgab,TM,2020-08-23 03:04:36,37.5,61.97,71.6,40,0,4.7
212,Kawalu,ID,2020-08-23 03:04:36,-7.38,108.21,83.84,59,36,4.21
213,Bilma,NE,2020-08-23 03:04:36,18.69,12.92,90.16,40,48,7.7
214,Chirongui,YT,2020-08-23 03:04:37,-12.93,45.15,69.8,88,78,1.12
215,Samfya,ZM,2020-08-23 03:04:37,-11.36,29.56,56.52,84,28,8.19
216,Soller,ES,2020-08-23 03:04:37,39.77,2.72,78.8,74,0,4.7
217,Qaanaaq,GL,2020-08-23 03:04:38,77.48,-69.36,37.31,86,100,2.19
218,Sobolevo,RU,2020-08-23 03:04:38,54.43,31.9,52.16,89,97,7.85
219,Waingapu,ID,2020-08-23 03:04:39,-9.66,120.26,86.9,43,0,14.81
220,Adrar,MR,2020-08-23 03:04:39,20.5,-10.07,95.52,11,27,4.12
221,Ukiah,US,2020-08-23 03:04:40,39.15,-123.21,89.6,31,1,6.93
222,Sisimiut,GL,2020-08-23 03:04:40,66.94,-53.67,46.24,82,20,2.01
223,Yatou,CN,2020-08-23 03:04:41,37.15,122.38,79.61,79,28,8.37
224,Cabo San Lucas,MX,2020-08-23 03:00:51,22.89,-109.91,82.4,65,5,6.93
225,Ilulissat,GL,2020-08-23 03:04:41,69.22,-51.1,39.2,86,0,4.03
226,Port Augusta,AU,2020-08-23 03:04:42,-32.5,137.77,55.4,62,75,8.05
227,Beyneu,KZ,2020-08-23 03:04:42,45.32,55.2,69.35,41,94,23.96
